"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006413","GO:0006413","translational initiation","12/389","128/18842",0.09375,4.540970437018,5.83629529868142,1.39479527002617e-05,0.0011234789298293,0.0011234789298293,"EIF2S3/EIF3C/DDX1/EIF3H/CSDE1/EIF4EBP3/EIF5B/EIF2A/EIF4H/ABCE1/DNAJC3/EIF4EBP2",12
"GO:0140253","GO:0140253","cell-cell fusion","10/389","89/18842",0.112359550561798,5.44236157245602,6.09911489705194,1.49394614593739e-05,0.00118708153217727,0.00118708153217727,"RPL31/EHD1/RPL13/RPL24/RPL27A/RPL9/RPL28/RPL8/RPL23A/RPL36",10
"GO:0006949","GO:0006949","syncytium formation","10/389","90/18842",0.111111111111111,5.38189088831762,6.04995718632282,1.65024437941928e-05,0.00129379159346471,0.00129379159346471,"RPL31/EHD1/RPL13/RPL24/RPL27A/RPL9/RPL28/RPL8/RPL23A/RPL36",10
"GO:0072594","GO:0072594","establishment of protein localization to organelle","21/389","356/18842",0.0589887640449438,2.85723982553941,5.13647048649843,1.76268286748681e-05,0.00136375990273979,0.00136375990273979,"PHB2/SSR1/KPNA4/HSPA8/SRP68/FLNA/AP3M1/APPL1/SPCS2/STAM2/SEC13/EPS15/CFL1/SRP19/KPNB1/SRPRB/UFM1/RAN/CHP1/CCT6A/TCP1",21
"GO:0042254","GO:0042254","ribosome biogenesis","20/389","329/18842",0.060790273556231,2.94449957415554,5.16607474397796,1.81322362126753e-05,0.00136592921264494,0.00136592921264494,"GRWD1/RPS15/GNL2/EXOSC10/NOP16/RPS6/RPS12/FBL/DKC1/RPS19/RPS7/EIF5B/PWP1/EIF2A/NOP2/NOL8/RPS4X/GAR1/DDX17/RAN",20
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","8/389","56/18842",0.142857142857143,6.91957399926552,6.44110817594948,1.83515044991766e-05,0.00136592921264494,0.00136592921264494,"PARK7/ADI1/SHMT2/PAH/ASS1/GLS2/MTAP/ALDH18A1",8
"GO:0070201","GO:0070201","regulation of establishment of protein localization","24/389","443/18842",0.054176072234763,2.62412738572597,5.02247897499645,1.83517700338351e-05,0.00136592921264494,0.00136592921264494,"VPS35/SEC24D/HSPA8/PARK7/ABAT/RAB8A/OSBP/IDH2/FLNA/GRIPAP1/ANXA13/GDI1/ASPH/SEC13/MYH10/BCAP31/UFM1/RAN/HADH/RBP4/CHP1/CCT6A/TCP1/PPID",24
"GO:0010833","GO:0010833","telomere maintenance via telomere lengthening","9/389","73/18842",0.123287671232877,5.97168715005106,6.17928092529681,1.87906869484874e-05,0.00138111549071382,0.00138111549071382,"EXOSC10/CCT3/CCT5/DKC1/GAR1/CCT7/CCT8/CCT6A/TCP1",9
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","7/389","42/18842",0.166666666666667,8.07283633247644,6.66242930309957,2.19118833148034e-05,0.00159064041840795,0.00159064041840795,"DLST/MVK/ACACA/PMVK/HMGCS1/ACSS2/FASN",7
"GO:0045454","GO:0045454","cell redox homeostasis","7/389","43/18842",0.162790697674419,7.8850959526514,6.56251237717282,2.57122346672405e-05,0.00184375536394358,0.00184375536394358,"ERP44/TXNDC2/PRDX4/PRDX1/BOLA1/GLRX5/PRDX5",7
"GO:0030970","GO:0030970","retrograde protein transport, ER to cytosol","6/389","30/18842",0.2,9.68740359897172,6.91395303762525,2.90752534767702e-05,0.00203124048586646,0.00203124048586646,"SEL1L/HSP90B1/VCP/BCAP31/NPLOC4/SYVN1",6
"GO:1903513","GO:1903513","endoplasmic reticulum to cytosol transport","6/389","30/18842",0.2,9.68740359897172,6.91395303762525,2.90752534767702e-05,0.00203124048586646,0.00203124048586646,"SEL1L/HSP90B1/VCP/BCAP31/NPLOC4/SYVN1",6
"GO:0022618","GO:0022618","protein-RNA complex assembly","17/389","259/18842",0.0656370656370656,3.17926372939226,5.12737455571924,2.93631702888859e-05,0.00203124048586646,0.00203124048586646,"HTATSF1/PRPF3/PRPF8/EFTUD2/RPS15/EIF2S3/PUF60/EIF3C/DDX1/RPS6/EIF3H/U2AF2/LUC7L2/RPS19/PRPF39/NOP2/LSM8",17
"GO:2000573","GO:2000573","positive regulation of DNA biosynthetic process","7/389","44/18842",0.159090909090909,7.70588922645478,6.46576886022185,3.00391123862779e-05,0.00205383698641063,0.00205383698641063,"CCT3/CCT5/DKC1/CCT7/CCT8/CCT6A/TCP1",7
"GO:0033490","GO:0033490","cholesterol biosynthetic process via lathosterol","5/389","19/18842",0.263157894736842,12.7465836828575,7.43767574632155,3.34793132636694e-05,0.00224921450124821,0.00224921450124821,"FDPS/MVK/LSS/PMVK/HMGCS1",5
"GO:0042176","GO:0042176","regulation of protein catabolic process","22/389","401/18842",0.0548628428927681,2.65739250844611,4.87078105790329,3.3865157994208e-05,0.00224921450124821,0.00224921450124821,"UBXN1/VPS35/PARK7/PSMD6/LRP1/CSNK2A1/PACSIN3/EIF3H/FLNA/VCP/PSMD14/USP5/PSMC1/PSMC4/RPS7/CTSC/BCAP31/PSMD2/UBQLN4/PSMC5/PSMA5/PSMB4",22
"GO:0045337","GO:0045337","farnesyl diphosphate biosynthetic process","4/389","10/18842",0.4,19.3748071979434,8.43855047906812,3.40442330971242e-05,0.00224921450124821,0.00224921450124821,"FDPS/MVK/PMVK/HMGCS1",4
"GO:0008380","GO:0008380","RNA splicing","25/389","492/18842",0.0508130081300813,2.46123058916964,4.76844257319359,3.57425980504811e-05,0.00233518307263143,0.00233518307263143,"HTATSF1/PRPF3/PRPF8/EFTUD2/HSPA8/HNRNPUL1/NCL/DHX15/PUF60/DDX1/ZCCHC8/PRPF40A/DDX5/WBP4/U2AF2/LUC7L2/CIRBP/HNRNPR/RBM19/PRPF39/LSM1/SUPT6H/HNRNPK/DDX17/LSM8",25
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","11/389","119/18842",0.092436974789916,4.47737141128945,5.52497256650694,3.62006006786922e-05,0.00233911573616165,0.00233911573616165,"PRPF8/EFTUD2/A1CF/U2AF2/CIRBP/CSDE1/CRYZ/TAF15/HNRNPA0/LARP1B/PKP3",11
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","19/389","318/18842",0.059748427672956,2.89403566635948,4.94569820340909,3.71010916815425e-05,0.00237124368573337,0.00237124368573337,"GMDS/NPR2/IDH2/DLST/NDUFA9/NAGK/UAP1L1/PPT2/VCP/UMPS/ACACA/AMDHD2/ACSL1/ACSS2/FUOM/NDUFA2/GMPS/SDHA/FASN",19
"GO:0170034","GO:0170034","L-amino acid biosynthetic process","7/389","46/18842",0.152173913043478,7.37085056443501,6.28111725128519,4.04956511932739e-05,0.00256037020447797,0.00256037020447797,"PARK7/ADI1/PAH/ASS1/GLS2/MTAP/ALDH18A1",7
"GO:0016050","GO:0016050","vesicle organization","21/389","379/18842",0.0554089709762533,2.68384532425338,4.80799436510536,4.41946417822499e-05,0.00276451589020882,0.00276451589020882,"VAPB/SEC24D/RAB8A/OSBP/AP3B1/PLD3/SURF4/TRAPPC8/AP1G1/ARFGAP2/AP3M1/ATP6V1A/VAPA/PDCD6IP/STAM2/SEC13/EPS15/SEC16A/VTI1B/RAB1A/TMED9",21
"GO:0000050","GO:0000050","urea cycle","4/389","11/18842",0.363636363636364,17.6134610890395,8.00226730097612,5.26268284519169e-05,0.00325732369786601,0.00325732369786601,"FH/ARG1/ASS1/AGMAT",4
"GO:0072659","GO:0072659","protein localization to plasma membrane","17/389","274/18842",0.062043795620438,3.00521644493648,4.8545307893642,5.95109725454036e-05,0.00364504706840597,0.00364504706840597,"VPS35/EHD1/SPTBN1/RAB8A/F11R/AP3B1/LRP1/MACF1/HSP90B1/FLNA/GRIPAP1/APPL1/CLTC/ANXA13/SEC16A/VTI1B/PKP3",17
"GO:1900180","GO:1900180","regulation of protein localization to nucleus","11/389","126/18842",0.0873015873015873,4.2286285551067,5.2794675198463,6.13487050341519e-05,0.00371886995464756,0.00371886995464756,"PARK7/CCT3/CCT5/FLNA/CCT7/CCT8/UFM1/RAN/CHP1/CCT6A/TCP1",11
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","9/389","85/18842",0.105882352941176,5.12862543474974,5.53893848549691,6.41174254261484e-05,0.00384704552556891,0.00384704552556891,"PARK7/CCT3/CCT5/FLNA/CCT7/CCT8/RAN/CCT6A/TCP1",9
