sample,sample_column,source_dataset,match_type,group_name,tissue,age,environment,sex
Ellen_KLAC_11_S6-D11_1_6500,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_11_S6-D11_1_6500.d,Ellen_KLAC_251,exact,M_18ML,Muscle,18wk,Lab,Male
Ellen_KLAC_12_S6-D12_1_6501,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_12_S6-D12_1_6501.d,Ellen_KLAC_251,exact,M_18ML,Muscle,18wk,Lab,Male
Ellen_KLAC_13_S6-E1_1_6502,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_13_S6-E1_1_6502.d,Ellen_KLAC_251,exact,M_18ML,Muscle,18wk,Lab,Male
Ellen_KLAC_14_S6-E2_1_6503,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_14_S6-E2_1_6503.d,Ellen_KLAC_251,exact,M_18ML,Muscle,18wk,Lab,Male
Ellen_KLAC_15_S6-E3_1_6504,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_15_S6-E3_1_6504.d,Ellen_KLAC_251,exact,M_18MM,Muscle,18wk,Mesocosm,Male
Ellen_KLAC_16_S6-E4_1_6505,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_16_S6-E4_1_6505.d,Ellen_KLAC_251,exact,M_18MM,Muscle,18wk,Mesocosm,Male
Ellen_KLAC_17_S6-E5_1_6506,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_17_S6-E5_1_6506.d,Ellen_KLAC_251,exact,M_18MM,Muscle,18wk,Mesocosm,Male
Ellen_KLAC_18_S6-E6_1_6507,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_18_S6-E6_1_6507.d,Ellen_KLAC_251,exact,M_18MM,Muscle,18wk,Mesocosm,Male
Ellen_KLAC_19_S6-E7_1_6508,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_19_S6-E7_1_6508.d,Ellen_KLAC_251,exact,M_43ML,Muscle,43wk,Lab,Male
Ellen_KLAC_1_S6-D1_1_6490,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_1_S6-D1_1_6490.d,Ellen_KLAC_251,exact,M_8ML,Muscle,8wk,Lab,Male
Ellen_KLAC_20_S6-E8_1_6509,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_20_S6-E8_1_6509.d,Ellen_KLAC_251,exact,M_43ML,Muscle,43wk,Lab,Male
Ellen_KLAC_21_S6-E9_1_6510,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_21_S6-E9_1_6510.d,Ellen_KLAC_251,exact,M_43ML,Muscle,43wk,Lab,Male
Ellen_KLAC_22_S6-E10_1_6511,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_22_S6-E10_1_6511.d,Ellen_KLAC_251,exact,M_43ML,Muscle,43wk,Lab,Male
Ellen_KLAC_2_S6-D2_1_6491,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_2_S6-D2_1_6491.d,Ellen_KLAC_251,exact,M_8ML,Muscle,8wk,Lab,Male
Ellen_KLAC_3_S6-D3_1_6492,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_3_S6-D3_1_6492.d,Ellen_KLAC_251,exact,M_8ML,Muscle,8wk,Lab,Male
Ellen_KLAC_4_S6-D4_1_6493,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_4_S6-D4_1_6493.d,Ellen_KLAC_251,exact,M_8ML,Muscle,8wk,Lab,Male
Ellen_KLAC_5_S6-D5_1_6494,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_5_S6-D5_1_6494.d,Ellen_KLAC_251,exact,M_8ML,Muscle,8wk,Lab,Male
Ellen_KLAC_6_S6-D6_1_6495,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_6_S6-D6_1_6495.d,Ellen_KLAC_251,exact,M_8MM,Muscle,8wk,Mesocosm,Male
Ellen_KLAC_7_S6-D7_1_6496,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_7_S6-D7_1_6496.d,Ellen_KLAC_251,exact,M_8MM,Muscle,8wk,Mesocosm,Male
Ellen_KLAC_8_S6-D8_1_6497,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_8_S6-D8_1_6497.d,Ellen_KLAC_251,exact,M_8MM,Muscle,8wk,Mesocosm,Male
Ellen_KLAC_9_S6-D9_1_6498,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/Ellen_KLAC_9_S6-D9_1_6498.d,Ellen_KLAC_251,exact,M_8MM,Muscle,8wk,Mesocosm,Male
