"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016042","GO:0016042","lipid catabolic process","14/197","347/18842",0.0403458213256484,3.85886276861862,5.52503167791254,1.81025324469716e-05,0.00212885781576386,0.00212885781576386,"HSD17B10/GLA/ABCB11/BDH2/EHHADH/CYP46A1/ACOX3/ACOX1/ACADM/FABP3/ECI2/ETFDH/PHYH/PLIN5",14
"GO:0006099","GO:0006099","tricarboxylic acid cycle","5/197","32/18842",0.15625,14.9444796954315,8.11496777685122,1.90090302015971e-05,0.00219162936441944,0.00219162936441944,"OGDH/ACO2/SUCLG1/SDHA/FH",5
"GO:0006979","GO:0006979","response to oxidative stress","15/197","400/18842",0.0375,3.58667512690355,5.3749170693566,2.13539796976858e-05,0.00241464231966139,0.00241464231966139,"EEF2/CAT/PRDX4/PRDX5/AMBP/PSMC5/PRDX1/PRDX2/PARK7/PSMA5/MSRB2/PSMB7/PSMD13/PSMD6/ETFDH",15
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","14/197","357/18842",0.0392156862745098,3.75077137453966,5.39365012072845,2.47850030474914e-05,0.00260610797230224,0.00260610797230224,"SF3A3/HNRNPUL1/HSPA8/PUF60/DDX5/NCL/PRPF8/HNRNPL/DDX17/HNRNPH3/DDX23/RBM8A/HNRNPK/SRSF3",14
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","14/197","357/18842",0.0392156862745098,3.75077137453966,5.39365012072845,2.47850030474914e-05,0.00260610797230224,0.00260610797230224,"SF3A3/HNRNPUL1/HSPA8/PUF60/DDX5/NCL/PRPF8/HNRNPL/DDX17/HNRNPH3/DDX23/RBM8A/HNRNPK/SRSF3",14
"GO:0006090","GO:0006090","pyruvate metabolic process","8/197","113/18842",0.0707964601769911,6.77130407439019,6.32498904504178,2.4820075926688e-05,0.00260610797230224,0.00260610797230224,"OGDH/ALDOB/GPI/GAPDH/LDHB/DHTKD1/GAPDHS/ENO3",8
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","8/197","113/18842",0.0707964601769911,6.77130407439019,6.32498904504178,2.4820075926688e-05,0.00260610797230224,0.00260610797230224,"PUF60/DDX5/PRPF8/HNRNPL/DDX17/RBM8A/HNRNPK/SRSF3",8
"GO:0022904","GO:0022904","respiratory electron transport chain","8/197","114/18842",0.0701754385964912,6.71190667022887,6.28769869157046,2.64570607004553e-05,0.00272925468278381,0.00272925468278381,"NDUFS7/PARK7/CYC1/NDUFB11/ETFDH/NDUFA12/SDHA/NDUFS2",8
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","14/197","361/18842",0.038781163434903,3.70921158091596,5.34241578430403,2.8013517413913e-05,0.00280716060098671,0.00280716060098671,"SF3A3/HNRNPUL1/HSPA8/PUF60/DDX5/NCL/PRPF8/HNRNPL/DDX17/HNRNPH3/DDX23/RBM8A/HNRNPK/SRSF3",14
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","7/197","84/18842",0.0833333333333333,7.97038917089679,6.58123346817182,2.81670876629619e-05,0.00280716060098671,0.00280716060098671,"HNRNPUL1/PUF60/DDX5/HNRNPL/DDX17/RBM8A/SRSF3",7
"GO:0006096","GO:0006096","glycolytic process","7/197","85/18842",0.0823529411764706,7.8766198865333,6.53140608508621,3.04261407333379e-05,0.00295632422328821,0.00295632422328821,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0043484","GO:0043484","regulation of RNA splicing","10/197","189/18842",0.0529100529100529,5.06056455295034,5.76695908312656,3.09374746922527e-05,0.00295632422328821,0.00295632422328821,"FAM50A/PUF60/DDX5/PRPF8/HNRNPL/DDX17/HNRNPH3/RBM8A/HNRNPK/SRSF3",10
"GO:1901739","GO:1901739","regulation of myoblast fusion","6/197","58/18842",0.103448275862069,9.89427621214773,6.97323760231254,3.11721261639233e-05,0.00295632422328821,0.00295632422328821,"RPL36A/RPL13/RPL28/RPL18A/RPL27/RPL13A",6
