"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LMNA",-3.89862850834923,10.9617783037083,-5.64317426499893,1.82861133777238e-06,0.000337954465758674,4.96398362935793
"ABCE1",-4.53913813419537,10.3861099257346,-5.62194999367474,1.954580341105e-06,0.000348334139361212,4.90289906630922
"RPL27A.1",-5.13793650669591,11.5348121451071,-5.57151691867829,2.28974423120835e-06,0.000393993921163093,4.75776223420678
"SQSTM1",3.71230844824564,11.7122979336565,5.55913068508897,2.38047738584422e-06,0.000395952738512089,4.72212077745291
"AMDHD2",-4.33911889171379,10.6173421428585,-5.54407690941151,2.49559257917366e-06,0.000401709902260534,4.67880603031873
"AGPHD1",-4.32996314486943,10.1474608167864,-5.52012319447012,2.69031767112349e-06,0.00041952141184082,4.6098898747758
"TXNIPA",-3.41965743831377,10.4923235002924,-5.5036068672818,2.83333670853075e-06,0.000428434853805104,4.56237695410937
"A0A8C6PF19",-3.78235867409102,10.2986405029553,-5.38652019247823,4.08935362003817e-06,0.000600172781293838,4.22572424732182
"RPL22.3",-5.31889971162573,12.136438067508,-5.28879508290836,5.55232812075783e-06,0.00079160335207376,3.94506580306466
"PRDX5.1",-5.64832263845833,12.6235250585811,-5.25970389055433,6.08099197199023e-06,0.000824396041136066,3.8615930362035
"Nfu_g_1_015765",-4.39583205477225,11.0410004810316,-5.25803701589116,6.11275621684057e-06,0.000824396041136066,3.85681136300687
"fahd1",-4.40042414990722,11.4199973070064,-5.24452078006366,6.37649179631005e-06,0.000837334054304925,3.81804294079577
"DDX1.2",-4.14857504138053,10.9173208639343,-5.13713398563126,8.9158582621312e-06,0.001130019770431,3.51036822459243
"MYH9.3",3.1426332837798,13.7592981776548,5.13205141355979,9.05827471287377e-06,0.001130019770431,3.49582264743471
"PSMC5",-4.75022469753905,11.7780596907144,-5.12410696641979,9.28541996753494e-06,0.00113010355214633,3.47309006263074
"PRKAB1B",-3.56666079624057,10.2522654334126,-5.10955721885641,9.71618184194525e-06,0.00115437493788826,3.43146728925046
"DNAJC3",-4.75762859792968,11.7511719649753,-5.07035240245363,1.09781465745915e-05,0.0012739756141212,3.3193836995367
"CCT3.2",-4.29549211526449,11.5341521741409,-5.06066275403176,1.13143287359945e-05,0.00128033670532933,3.29169823135831
"RPS7",-5.34325259718816,13.3044867249482,-5.04906742300322,1.17300751423736e-05,0.00128033670532933,3.25857673187908
"MVK",-3.20689728142323,10.0779668110773,-5.04708371035017,1.18027030952202e-05,0.00128033670532933,3.25291134116318
"ACP1",-3.72058522521589,10.7151211763684,-5.03502545428603,1.22538763740841e-05,0.00130099666184425,3.21847983247806
"PALLD",-3.68979834459979,9.79697042648501,-5.02030826183713,1.28277702322209e-05,0.00133355361372463,3.17647084997779
"SDF2",-4.42581756944738,11.3858422967962,-4.99329595092381,1.39513124615058e-05,0.00139245061547322,3.0994105736006
"HADHB.2",-4.60400582670366,11.5721572888611,-4.99327061042096,1.39524109766855e-05,0.00139245061547322,3.0993383100735
"CANX",4.22253946260354,12.1099394520964,4.96052765855849,1.54458832911289e-05,0.00151127367887712,3.00600965314638
"EIF3EA",-4.12140916801406,10.0530745565527,-4.94183500097769,1.63684237197776e-05,0.0015707391223402,2.95277011959208
"MANF.2",-4.50738659911964,11.2749856269128,-4.92507750671396,1.72417361814282e-05,0.00161500483274222,2.90506847109316
"COTL1",-3.94660879042746,11.1067689183881,-4.9207067302364,1.74770062060281e-05,0.00161500483274222,2.89263084562761
"DNAJB11",-4.71596867804409,11.3548117070979,-4.89602132525455,1.88666892262442e-05,0.00171172325889015,2.82241837032213
"HMGA1",-5.19201621624356,11.7413726242853,-4.878246620566,1.99345366085655e-05,0.00171957645948748,2.77189762794574
"PCMTL.2",-2.98771613784598,10.0767331793506,-4.8773930509272,1.9987295029325e-05,0.00171957645948748,2.76947230967404
"ASPH.2",-3.83583453145422,11.3643527916244,-4.87076863962949,2.04014693256836e-05,0.00171957645948748,2.75065224326858
"ENO3.1",-5.65675740486558,13.1192766263355,-4.86849519267129,2.0545559268026e-05,0.00171957645948748,2.74419433566116
"H2AFVB",-3.21054554821259,10.6263006396952,-4.86569811313955,2.0724219057311e-05,0.00171957645948748,2.73624970900023
"CUTA",-3.92953805365879,10.6722382535169,-4.85932585789235,2.11369991267145e-05,0.00171957645948748,2.71815331069148
"PCBP2",-4.25900509581308,10.6527168563708,-4.85191419291384,2.16273514969725e-05,0.00171957645948748,2.69711023911083
"eef1da.1",-5.39054226115567,11.6836386328216,-4.85068011253305,2.17100835566556e-05,0.00171957645948748,2.69360699779484
"EEF1A1L1.1",-6.17486317252834,13.359090293156,-4.83748151500589,2.26147275969394e-05,0.00176324204232387,2.65614923948578
"MYL6",-4.76498924923405,12.2565573906945,-4.80192160206899,2.52417767870041e-05,0.0018954829710617,2.55532035041471
"NUCB1",-3.18469249441855,10.4373743142382,-4.80129379150251,2.52907693606033e-05,0.0018954829710617,2.5535414289349
"CTSF.1",-3.64905355717108,10.5978799730263,-4.79925687797335,2.54503725573415e-05,0.0018954829710617,2.54777006376325
"OLA.9963",-3.75264925924799,10.9351073116358,-4.78223686302143,2.68234902101284e-05,0.001924503250728,2.49956355182586
"CANT1A.1",3.40480577367845,10.9277049946691,4.78025962510181,2.69876796787776e-05,0.001924503250728,2.4939654158624
